,name,address,sex,date_of_birth,race,marital-status,occupation,pregnant,relationship,education,income,native-country,workclass,education-num,capital-gain,fnlwgt,hours-per-week,capital-loss,mean_glucose,std_glucose,kurtosis_glucose,skewness_glucose,mean_oxygen,std_oxygen,kurtosis_oxygen,skewness_oxygen,age,class
120,frank Hart,"9262 Wallace forges Suite 598
thomasbury, MD 23580", Male,19/3/1972, White, Married-civ-spouse, Sales,f, Husband, HS-grad,>50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.7339821567750604,-0.049760330148127474,-0.22716575022407376,118.1796875,42.1767919,0.031217648,0.580141573,1.95735786,15.19485548,10.55009872,132.5737756,47.0,0.0
121,Melvin Denn,"USNV ferguson
fPO AA 10117", Male,31/10/1974, White, Married-civ-spouse, Sales,f, Husband, Some-college,>50K, United-States, Self-emp-inc,-0.06036390113009848,-0.307121916819555,1.595148767236835,1.6089756412038498,-0.22716575022407376,47.6640625,25.22005568,4.65537107,34.56319921,21.15719064,59.45657228,2.803674044,6.495920635,44.0,1.0
122,Rene Jones,"PSC 9384, Box 7091
APO AP 14660", Male,21/12/1969, White, Married-civ-spouse, Craft-repair,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,2.6674951940376435,-0.049760330148127474,-0.22716575022407376,75.1640625,37.05713016,0.795076518,2.875512424,8.95819398,36.412399,4.605350468999999,21.47460046,50.0,0.0
123,Raymond Patterson,"Unit 6895 Box 3683
DPO AA 16647", female,25/6/1957, White, Never-married, Prof-specialty,f, Unmarried, Masters,<=50K, United-States, Local-gov,1.5959913061532025,-0.307121916819555,0.18546631794313004,-0.049760330148127474,-0.22716575022407376,134.875,53.07114918,-0.027432532000000003,-0.078660774,2.503344482,14.23638781,9.468300344,120.8460965,62.0,0.0
124,Bryan Burns,"9350 Anderson Landing
South Robertmouth, NV 19789", female,16/11/1957, White, Married-civ-spouse, Craft-repair,f, Wife, Assoc-voc,<=50K, United-States, Private,0.33804302885987203,-0.307121916819555,0.3800067295360657,-2.800473010391146,4.402072066773182,124.53125,47.09414399,0.060258648,0.105936777,12.51839465,45.5563398,3.601194972,11.69361995,62.0,0.0
125,Robert Zweier,"USNS Castaneda
fPO AE 49827", female,14/12/1965, White, Never-married, Adm-clerical,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,0.505053699260529,-0.049760330148127474,-0.22716575022407376,125.0390625,53.72388935,-0.035972499,-0.515057675,1.991638796,12.24867464,10.90710802,172.6087021,53.0,0.0
126,David Hall,"4293 Amanda Drive
Heathland, Ct 67739", Male,17/6/1966, Other, Divorced, Craft-repair,f,Not_in_family, 1st-4th,<=50K, Dominican-Republic, Private,-2.7427672463247537,-0.307121916819555,0.4862706409895701,-0.21323372346394612,-0.22716575022407376,117.0390625,49.82386650709499,0.004967201,-1.342554186,73.58193979999999,61.02449276607652,0.632783665,-1.413285968,53.0,0.0
127,William Lara,"097 Steven Heights
New Robert, Ut 47823", Male,14/4/1981, White, Married-civ-spouse, Sales,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.8590860761490792,0.7745746796839207,-0.22716575022407376,122.390625,47.42020178,0.280324782,0.062980362,1.400501672,13.58729856,13.30500732,202.0176476,38.0,0.0
128,Elbert Nash,"5185 Burton Viaduct Apt. 422
Andrewberg, NY 45231", Male,30/5/1988, White, Never-married, Other-service,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-1.9539806085987794,-1.3414280535101955,-0.22716575022407376,120.71875,43.27454822,0.050645821,0.108744274,1.307692308,12.54126197,12.22553547,183.9221061,31.0,0.0
129,terrance Smith,"PSC 4610, Box 9409
APO AP 05068", Male,5/4/1944, White, Divorced, Craft-repair,f, Unmarried, Assoc-voc,<=50K, United-States, Private,0.33804302885987203,-0.307121916819555,-0.4474735074881575,-0.049760330148127474,-0.22716575022407376,54.625,34.03949912,2.202762448,10.56004668,49.89214047,75.05389829449295,1.304085539,0.116022665,75.0,1.0
130,Sam Banks,"95474 Crosby Stravenue
Walkershire, IA 26059", Male,27/3/1955, White, Married-civ-spouse, Exec-managerial,f, Husband, Some-college,>50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-0.5275198637022667,1.6089756412038498,-0.22716575022407376,50.1484375,29.15505151,3.884343126,23.47642352,11.82023411,41.82490927,4.059878119,16.38369186,64.0,1.0
131,Ben Nelson,"3220 Steven fall Apt. 315
New Robert, CO 11515", Male,26/3/1954, White, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.1506314819602711,-0.049760330148127474,-0.22716575022407376,43.53125,29.43078148,4.561197349,27.58809027,24.47408027,59.28255704,2.492828032,5.086935866,65.0,1.0
132,John Copeland,"PSC 7870, Box 3524
APO AA 28290", Male,16/6/1989, White, Married-civ-spouse, Exec-managerial,f, Husband, Some-college,>50K, United-States, Self-emp-inc,-0.06036390113009848,-0.307121916819555,0.08785683845985366,-0.049760330148127474,-0.22716575022407376,115.203125,42.99443267,0.056808559,0.515870342,1.005016722,10.75906594,16.51155692,325.6385077,30.0,0.0
133,Gerald Sims,"85005 Griffin Haven
Port Josephville, fL 51987", Male,5/5/1921, White, Divorced, Craft-repair,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-0.6207263131437235,-0.049760330148127474,-0.22716575022407376,21.0234375,29.3058934,5.270400821284135,39.75209174,87.51839465,58.71450821,1.187591938,0.8796348409999999,98.0,1.0
134,Dennis Garcia,"880 Adams Rapid
New Philipmouth, NY 79771", Male,14/3/1967, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,<=50K, United-States, Self-emp-not-inc,1.1667590804424672,-0.307121916819555,-1.0975602995443892,-2.200993611629318,-0.22716575022407376,14.8515625,35.14903311,5.379003705,29.00446401,83.16555184,74.95004591,0.3630998,-0.913096345,52.0,1.0
135,Bobby Roberts,"65056 Steven terrace Apt. 323
Marychester, MS 55753", Male,17/8/1955, Black, Never-married, Handlers-cleaners,f, Unmarried, Bachelors,<=50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.005848505092044689,-0.049760330148127474,-0.22716575022407376,65.796875,46.20510648,2.289090852,6.235282913,20.37207358,51.02207394,2.94169165,8.457182358999999,64.0,1.0
136,Domingo Labriola,"350 Monica forks Apt. 284
Vegamouth, AK 10810", Male,15/6/1969, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.5721365016055596,1.6089756412038498,4.4020720703239675,110.6171875,45.96774023,0.364951176,0.585304653,2.461538462,16.19971589,8.842429496,94.23591326,50.0,0.0
137,Leland Gottron,"223 Sanders Points Suite 634
Scottburgh, OR 94011", Male,20/3/1993, White, Never-married, Prof-specialty,f,Not_in_family, Prof-school,>50K, United-States, Local-gov,2.0345253362746654,3.2561070862353825,0.048233348270757,-0.049760330148127474,-0.22716575022407376,111.46875,40.95480312,0.456677111,0.872223812,1.530100334,12.70832807,12.46454066,193.6824206,26.0,0.0
138,Ralph Nilsen,"230 Scott Club
South Williammouth, NH 84316", Male,3/2/1938, White, Married-civ-spouse, Craft-repair,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.2595480651093658,0.6088416555221471,-0.22716575022407376,48.859375,32.71222401,4.292333086,22.99204784,23.60953177,52.01613021,2.531317876,6.107516099999999,81.0,1.0
139,Ralph Manning,"127 Kyle Overpass
Sarahshire, OK 77274", female,30/5/1986, White, Married-civ-spouse, Adm-clerical,f, Wife, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,1.7436739571328965,-0.049760330148127474,-0.22716575022407376,117.453125,51.92811428,0.05852554400000001,-0.262843531,2.001672241,13.16222414,10.694754199999998,151.08679980000005,33.0,0.0
140,John Pearson,"1863 Stephanie fall
South Charlotte, Mt 01050", female,19/6/1973, White, Never-married, Prof-specialty,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-1.2884345674072437,-0.4574700075170363,-0.22716575022407376,119.65625,49.80390257,0.026315397,-0.162415373,7.10451505,33.51924939,5.416931324,30.38356603,46.0,0.0
141,Robert Seward,"99523 Ross Islands Suite 767
thomasburgh, WA 97793", female,4/9/1959, White, Divorced, Machine-op-inspct,f, Unmarried, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.36860849131015416,-0.049760330148127474,-0.22716575022407376,12.46875,34.58954356,5.750408523,32.97831184,77.68535609129752,63.51032717,-0.07722214200000001,-0.285142167,60.0,1.0
142,Brian Engle,"2152 Lin Via Apt. 067
Jordanmouth, KY 18672", Male,14/7/1952, White, Married-civ-spouse, Exec-managerial,f, Husband, Some-college,>50K, United-States, Self-emp-inc,-0.06036390113009848,-0.307121916819555,0.5046749527315346,-1.6574119401277534,-0.22716575022407376,20.8203125,30.28134574,5.964328192000001,37.73553526,99.72491639,63.79196761,0.8476835140000001,0.028599962000000007,67.0,1.0
143,Jerry Keenan,"0677 Morgan terrace Apt. 848
Reynoldsland, SC 99379", Male,3/11/1951, White, Divorced, Protective-serv,f,Not_in_family, Bachelors,>50K, United-States, Local-gov,1.1667590804424672,-0.307121916819555,-0.3443727721268637,-0.049760330148127474,-0.22716575022407376,39.9765625,53.53014117,2.017403345,3.969447362,60.57190635,59.92481923,1.7328455390000002,2.267167776,67.0,1.0
144,Joshua Wagner,"93602 Rodriguez Passage
East Deniseview, MO 42352", female,28/6/1943, White, Never-married, Other-service,f,Not_in_family, 12th,<=50K, United-States, Private,-0.8219531813774381,-0.307121916819555,-0.024855478849914566,-0.21323372346394612,-0.22716575022407376,74.4765625,40.71028833,1.41764242,4.449731236,33.63294314,71.46043332,1.814685721,1.601792036,76.0,1.0
145,Mark Barrera,"33520 Li Lock Suite 660
Port Richard, WI 98620", female,27/4/1958, White, Never-married, Sales,f,Own_child, 11th,<=50K, United-States, Private,-1.1834549059276278,-0.307121916819555,1.807123438591386,-2.0470969109887007,-0.22716575022407376,135.7265625,44.53539934,0.134598894,0.25748813,1.642140468,11.14959229,13.09093274,243.0025985,61.0,0.0
146,Jose Mueller,"5532 Madden Land
Chenmouth, OR 43547", female,23/5/1974, White, Never-married, Exec-managerial,f, Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.7542689449935419,0.36102666530117616,-0.22716575022407376,98.609375,55.63921649,0.5348045260000001,-0.078603433,3.690635452,19.72616752,7.793803661,73.13411265,45.0,0.0
147,Michael Colquitt,"4439 taylor falls Apt. 371
Port Nicolemouth, OH 78247", Male,22/12/1976, White, Never-married, Adm-clerical,f,Own_child, Assoc-acdm,<=50K, United-States, Private,0.7472751289507462,-0.307121916819555,-0.2067245404831659,-0.8617005319262813,-0.22716575022407376,126.1953125,45.41631359,-0.061241317,-0.08674686,4.757525084,26.15453947,6.267660874,42.17716837,42.0,0.0
148,James Heidebrecht,"PSC 7116, Box 6344
APO AP 77725", female,17/3/1971, White, Married-civ-spouse, Adm-clerical,f, Wife, Bachelors,<=50K, United-States, Local-gov,1.1667590804424672,-0.307121916819555,-0.13144354978947997,-0.21323372346394612,4.4020720579897485,115.5,53.62412587,-0.024388127,-0.104235502,3.090301003,20.74700783,7.55855178,61.15502119,48.0,0.0
149,Arthur Stallcup,"53955 Jesus Brook
Robertberg, MA 01512", Male,23/12/1955, White, Divorced, Machine-op-inspct,f,Own_child, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.0650916670768133,-0.049760330148127474,-0.22716575022407376,105.4765625,51.41314959,0.790846128,0.664687455,25.028235235433616,30.471594358058518,-0.263047959,-1.731313469,63.0,1.0
150,Joshua Mei,"39174 Hayley Mission Apt. 951
Rhodesmouth, KY 94572", Male,20/11/1975, White, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,<=50K, United-States, Local-gov,-0.44728577589804736,-0.307121916819555,-0.2270416307469567,-0.049760330148127474,-0.22716575022407376,121.4765625,46.34246919,0.14823919300000002,0.18534396,12.0819398,38.73779849,3.231074949,9.644188388,43.0,0.0
151,Christopher Gilliard,"66958 Ingram Station Apt. 540
Mannside, IA 81254", female,7/5/1977, White, Divorced, Priv-house-serv,f, Unmarried, 5th-6th,<=50K, Mexico, Private,-2.471127422093553,-0.307121916819555,1.4697119854482104,-0.049760330148127474,-0.22716575022407376,138.4765625,58.6508425,-0.251328479,-0.632374731,2.656354515,20.02259931,8.482193337,76.95485019,42.0,0.0
152,Ronald Kunkel,"184 Jones Mountains Suite 489
Gonzalezfurt, MA 24487", female,10/3/1945, White, Divorced, Exec-managerial,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-0.02606221612905583,-0.049760330148127474,-0.22716575022407376,38.0546875,37.99430644,3.884819846,16.5225833,34.35451505,59.02645009,1.850542127,2.812553835,74.0,1.0
153,todd Haynes,"6327 Nelson Dale Suite 555
South Christinaland, WV 72433", Male,5/5/1968, White, Separated, Machine-op-inspct,f,Own_child, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-0.5898213452343599,-0.049760330148127474,-0.22716575022407376,126.171875,47.41738035,0.108234477,0.373438319,2.570234114,15.27230811,8.530018418,93.24530274,51.0,0.0
154,William Brassard,"193 Wood Isle Apt. 582
Martinezstad, WY 04280", female,11/10/1967, White, Widowed, Craft-repair,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,3.2560241253564794,-0.2496941283991442,-2.2774471487560386,-0.22716575022407376,62.40625,42.81746094,2.005163265,6.355752862,7.090301003,31.14662497,4.883559124,25.09723282,52.0,1.0
155,Donte Contreras,"082 Whitney forks Suite 927
Mclaughlinhaven, WV 60552", female,9/1/1967, White, Married-civ-spouse, Exec-managerial,f, Wife, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,-0.4172290272081844,-0.2947788387586816,-0.22716575022407376,117.578125,48.97394227,0.222749629,0.088923559,2.518394649,20.49387288,8.693595451,78.39857362,52.0,0.0
156,George Donovan,"191 Dale Village Suite 371
Gloverfort, MD 47613", Male,18/9/1948, Black, Never-married, Machine-op-inspct,f,Own_child, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.41631913318136177,-0.049760330148127474,-0.22716575022407376,122.25,53.81841576,0.110718664,-0.368009298,5.641304347999999,29.7843857,5.540914585,30.76307504,71.0,0.0
157,William Nimmo,"672 Reynolds Port
Mitchelltown, MO 83382", Male,26/12/1977, Black, Never-married, Other-service,f, Unmarried, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,1.5568015220538378,-1.8140591138746749,-0.22716575022407376,76.9453125,39.99673983,2.180057856,6.701225373,35.3729097,62.64764289,1.833560009,2.580722771,42.0,1.0
158,Phillip Orta,"0698 Watts Mountains
Jonesfurt, NC 17963", Male,23/4/1962, White, Never-married, Sales,f,Own_child, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.5395276901262068,0.7745746796839207,-0.22716575022407376,47.6875,28.71866499,3.215212993,20.26156643,3.227424749,21.64833987,7.465669545,59.38975335,57.0,1.0
159,Paul Hardie,"0768 Katherine Points
Port Casey, IA 25495", female,2/6/1968, White, Never-married, Priv-house-serv,f,Not_in_family, 7th-8th,<=50K, Mexico, Private,-2.1765498657875755,-0.307121916819555,1.7867392462799425,-2.0470969109887007,-0.22716575022407376,86.234375,36.90835025,1.6655329209999998,5.5354171710000015,15.17976589,50.88779011,3.24987218,9.113489622000001,51.0,1.0
160,thomas Sheehan,"087 Alexa Plaza Suite 685
Stevenstad, IN 68672", Male,11/3/1958, White, Married-civ-spouse, farming-fishing,f, Husband, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-1.983444128972974,1.6089756412038498,-0.22716575022407376,115.8671875,51.68041383,0.15077565,-0.224505358,2.101170569,12.68286833,10.20173706,151.531413,61.0,0.0
161,frank Hartman,"5797 Collins Locks Suite 645
South Donna, WY 63866", Male,29/4/1968, Asian-Pac-Islander, Married-civ-spouse, Adm-clerical,f, Husband, Bachelors,<=50K, Philippines, Private,1.1667590804424672,-0.307121916819555,0.6672804158124269,-0.049760330148127474,-0.22716575022407376,92.7890625,42.55247722,0.698260042,1.010974709,3.780100334,20.82626747,6.901440535,54.13202761,51.0,0.0
162,Andrew Johnston,"137 Pierce Roads Suite 562
Kevinborough, NV 27395", Male,3/12/1960, White, Married-civ-spouse, transport-moving,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.8413093373275581,1.1906280386836128,4.402072070809481,115.5078125,48.10486528,0.144805686,-0.200101117,1.090301003,10.11109888,16.30884133,291.36787542987565,58.0,0.0
163,thomas Rivers,"79892 todd terrace Suite 335
Jodymouth, NH 62790", Male,7/9/1970, White, Never-married, Prof-specialty,f,Not_in_family, Bachelors,<=50K, United-States, Private,1.1667590804424672,-0.307121916819555,-1.7906200345655625,-0.049760330148127474,-0.22716575022407376,39.375,34.85348799,4.034706553,19.99365681,42.42892977,69.87893831,1.672327177,1.661392592,49.0,1.0
164,Howard Bray,"43434 Lauren Drive Suite 349
Lake Michaelmouth, NY 13474", Male,21/4/1962, White, Married-civ-spouse, Craft-repair,f, Husband, Masters,<=50K, United-States, Private,1.5959913061532025,-0.307121916819555,1.262719584198785,0.7745746796839207,-0.22716575022407376,30.8671875,29.94588116,5.273403641,32.67567927,24.15635452,50.80910369,2.55538357,6.692879465,57.0,1.0
165,Carl Dunn,"29562 Harold Path
Ellisport, HI 21075", Male,15/7/1969, Amer-Indian-Eskimo, Never-married, transport-moving,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.20059388150440088,-0.049760330148127474,-0.22716575022407376,133.6953125,48.66716658,-0.074506607,-0.091802158,3.433110368,19.86833014,7.395703266,61.61711885,50.0,0.0
166,Emmanuel Alm,"9131 Jenkins Prairie Apt. 320
Brittanymouth, KS 34570", Male,17/1/1966, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.10147642293919827,-0.049760330148127474,-0.22716575022407376,106.671875,41.35330046,0.420093235,0.7819412929999999,2.903010033,17.35934274,7.99972221,77.2891029,53.0,1.0
167,Gerald Perri,"PSC 0017, Box 4494
APO AA 46582", Male,27/9/1965, White, Married-civ-spouse, Sales,f, Husband, HS-grad,<=50K, United-States, Self-emp-not-inc,-0.44728577589804736,-0.307121916819555,-0.450326724023048,2.113773370374698,-0.22716575022407376,85.578125,45.34461954,1.5705241,3.205262034,1.83277592,14.83472366,12.66582563,180.08597609999995,54.0,1.0
168,David Huff,"75737 Sharon Inlet
South Justin, WA 54684", Male,12/1/1961, Black, Married-civ-spouse, Prof-specialty,f, Husband, Bachelors,<=50K, United-States, Private,1.1667590804424672,-0.307121916819555,2.6682963559252735,-0.8617005319262813,-0.22716575022407376,73.515625,30.01874008,2.679638322,12.54898853,6.85451505,34.94638375,5.515590222,30.32201694,57.0,1.0
169,Jason tyson,"514 Wagner Drive Suite 501
Hicksview, Mt 40833", Male,16/12/1959, White, Never-married, Exec-managerial,f,Not_in_family, Some-college,>50K, United-States, Self-emp-inc,-0.06036390113009848,-0.307121916819555,2.1452660874425193,2.0294401393251413,-0.22716575022407376,63.6015625,38.50717057,2.261648047,6.779405708,36.20234114,65.77644714,1.649390041,1.5586902619999998,60.0,1.0
170,Zane Bottorff,"331 Kristi Cliff Suite 050
Lake Brenda, AL 13442", Male,7/10/1968, White, Married-civ-spouse, Exec-managerial,f, Husband, Some-college,>50K, United-States, Private,-0.06036390113009848,3.256097167250488,1.026339107721931,0.36102666530117616,-0.22716575022407376,113.6875,50.11233475,-0.01250506,-0.457149871,4.064381271,24.1653315,6.761699336,49.31391266,51.0,0.0
171,John Wagers,"996 Rush Locks
North Jessica, DE 94049", Male,12/2/1972, White, Never-married, Prof-specialty,f, Not_in_family, HS-grad,<=50K, United-States, Self-emp-not-inc,-0.44728577589804736,-0.307121916819555,0.8482291448893565,-0.049760330148127474,-0.22716575022407376,117.0546875,50.47126481,0.170702028,-0.493665428,1.97909699,13.08923827,10.62165033,150.98790369999998,47.0,0.0
172,Courtney Mackey,"Unit 2381 Box 6496
DPO AP 27412", female,2/2/1980, White, Never-married, Adm-clerical,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-1.6743167014730875,-0.21323372346394612,-0.22716575022407376,98.015625,44.84661086,0.649316918,0.965570714,3.432274247,19.89910828,7.078860305,58.06248628,39.0,0.0
173,Alexander Mohammad,"036 Bullock Inlet Suite 665
Catherineview, NJ 63604", female,21/2/1965, White, Never-married, Sales,f,Own_child, 10th,<=50K, United-States, Private,-1.5306909589764228,-0.307121916819555,-0.35041914342114744,-2.2774471487560386,-0.22716575022407376,88.2734375,33.91158422,0.550971125,3.660342419,5.026755853,24.36657656,5.583385523,34.80696061,54.0,0.0
174,Larry Condon,"607 Nancy Crescent Suite 344
North Kaitlynmouth, OH 45281", Male,22/10/1975, White, Never-married, Prof-specialty,f,Not_in_family, Bachelors,<=50K, United-States, Private,1.1667590804424672,-0.307121916819555,-1.6999453044581896,0.7745746796839207,-0.22716575022407376,73.015625,35.62587376,1.034238723,4.0997568730000005,1.751672241,18.04998742,10.84984462,121.4598511,44.0,0.0
175,Wallace Holland,"407 Olson Garden
Lake Ambershire, OH 79585", female,9/12/1957, White, Married-civ-spouse, Sales,f, Wife, Assoc-acdm,<=50K, United-States, Private,0.7472751289507462,-0.307121916819555,0.33908437665145263,-1.261923599818217,-0.22716575022407376,110.765625,46.93237894,0.3715791470000001,0.217974379,7.196488294,32.5949709,5.0976346910000006,27.04893548,62.0,0.0
176,Manuel Beebe,"532 James Vista
Adamsberg, CO 53469", female,5/7/1960, White, Married-civ-spouse, Prof-specialty,f, Wife, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,-0.7244997244216235,-1.9696934859887074,-0.22716575022407376,87.109375,41.99688128,1.359798194,3.613590752,13.34364548,45.77206288,3.566127706,11.80151937,59.0,1.0
177,Nathan Motley,"66104 Rhonda fall Apt. 661
South Cynthiastad, PA 33837", Male,26/8/1988, White, Never-married, Prof-specialty,f, Unmarried, Bachelors,<=50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.6546570174545041,-0.049760330148127474,-0.22716575022407376,128.1015625,49.35788308,0.045821351,0.171522923,1.092809365,10.27623074,15.84062706,332.3840988,31.0,0.0
178,Mark Collins,"5679 Williams Brooks Suite 681
Phillipburgh, NJ 27759", Male,27/2/1985, White, Married-civ-spouse, Prof-specialty,f, Husband, Masters,>50K, United-States, Private,1.5959913061532025,3.25609509018207,-0.14871594510801783,-0.049760330148127474,-0.22716575022407376,137.078125,42.91991259,-0.180456387,0.121366484,37.15802676,74.75640001,1.623415939,0.845355053,34.0,0.0
179,Gary Menke,"76768 Sarah Isle
North Adam, Ut 01592", female,11/9/1995, White, Divorced, Other-service,f, Unmarried, 7th-8th,<=50K, United-States, Private,-2.1765498657875755,-0.307121916819555,-1.2533080708664173,-0.049760330148127474,-0.22716575022407376,148.3671875,45.91923465,-0.256341077,-0.030233739,6.219899666,30.05743063,5.052466646,25.76875874,24.0,0.0
180,Kenny Sager,"148 Ross River Suite 788
New Davidfurt, SC 01342", female,2/6/1985, White, Married-civ-spouse, Exec-managerial,f, Wife, Bachelors,>50K, United-States, Self-emp-not-inc,1.1667590804424672,-0.307121916819555,1.2935212225947474,-0.049760330148127474,4.402072069757861,136.2421875,52.08162855,-0.173853371,-0.730349907,10.84531773,40.29909482,3.774310774,13.22787855,34.0,0.0
181,Ray Cooksey,"9004 Suzanne Lane Suite 908
Margaretville, KS 58925", Male,15/12/1966, White, Never-married, Handlers-cleaners,f,Own_child, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,1.1415949402551995,-0.049760330148127474,-0.22716575022407376,134.75,53.33107092,-0.143471645,-0.298976614,5.492474916,28.28529009,5.3061613560000005,28.34152535,52.0,0.0
182,Michael fairley,"2304 Ho Hollow Suite 979
Carlshire, DE 63767", female,23/12/1954, White, Never-married, Adm-clerical,t,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,0.38925685043114666,-0.049760330148127474,-0.22716575022407376,110.7421875,49.60803332,0.154521237,0.120421137,2.024247492,17.64012929,9.650714837,99.87517028,64.0,0.0
183,Daniel Roy,"160 Clark forest Apt. 459
Spencestad, MN 73948", female,3/4/1954, White, Never-married, Sales,f,Own_child, 10th,<=50K, United-States, Private,-1.5306909589764228,-0.307121916819555,-0.5500152480041204,-1.6574119401277534,-0.22716575022407376,136.8828125,52.60311616,-0.237227963,-0.306039558,2.051839465,17.38528541,10.63260503,123.0040784,65.0,0.0
184,James Lehoux,"73788 Grace throughway Apt. 100
Lake Kimberly, Vt 09065", female,18/8/1948, White, Married-civ-spouse, Adm-clerical,f, Wife, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-1.7371885375318454,-1.6574119401277534,4.402072068205065,58.1640625,37.85659151,2.990382305,11.78564805,41.12123746,62.00958377,1.7353780069999998,2.354386452,71.0,1.0
185,James Johnson,"743 Pamela Motorway
South Brian, HI 59897", Male,25/2/1952, White, Married-civ-spouse, Craft-repair,f, Husband, Prof-school,<=50K, United-States, Private,2.0345253362746654,-0.307121916819555,0.4949724142698405,-1.6574119401277534,4.4020720579897485,25.5546875,35.81109478,4.420381987,20.81807034,54.17391304,67.09045101,1.251158087,0.74455171,67.0,1.0
186,Doyle Jenkins,"5461 Diana Islands
New Larrymouth, NY 98846", female,1/7/1953, White, Never-married, tech-support,f,Not_in_family, Bachelors,<=50K, United-States, Self-emp-not-inc,1.1667590804424672,-0.307121916819555,0.3023958567276346,-0.049760330148127474,-0.22716575022407376,60.1484375,49.56342052,2.042535958,4.475835277,7.959866221,36.35170628,5.155641077,26.6515781,66.0,1.0
187,Jeramy traxler,"7489 Jeremy falls
New Darren, IA 13962", Male,2/4/1973, White, Never-married, Sales,f,Own_child, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,-0.45434991735118535,-2.4292422623277368,-0.22716575022407376,130.703125,49.72932349,0.061423919,0.006931417,2.364548495,17.83389207,9.427854344,98.75343172,46.0,0.0
188,Roy Maness,"648 Kaylee Parks
Cathyport, NE 32308", Male,20/3/1954, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,<=50K, United-States, Self-emp-inc,1.1667590804424672,-0.307121916819555,0.15811314519540198,1.6089756412038498,-0.22716575022407376,92.6015625,49.78851208,1.005287247,0.57183843,23.74749164,58.85833953,2.420901795,4.698282981,65.0,1.0
189,Stanley Evans,"7356 frank Square
South Nicoleshire, OR 33167", Male,28/12/1969, White, Married-civ-spouse, tech-support,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-1.3548408515373873,-0.049760330148127474,-0.22716575022407376,73.0,38.8882614,2.342840717,6.780450648,52.404784536021175,68.69177328,-0.283185658,-0.4362958770000001,49.0,1.0
190,Ryan tate,"512 troy Knolls
Gilmoreside, WI 81698", female,19/1/1969, Black, Separated, Adm-clerical,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.6441864257977529,-0.700456157779115,-0.22716575022407376,127.0234375,55.845555,0.055035118,-0.304136457,6.634615385,29.40572668,5.086012642,27.40633598,50.0,0.0
